year,month,day,hour,wspd,forecast
2009,9,8,22,6.816999912,9.008765467
2009,9,8,23,9.767000198,7.024644217
2009,9,9,0,8,6.663519368
2009,9,9,1,7.550000191,9.096967948
2009,9,9,2,8.782999992,7.471046732
2009,9,9,3,3.582999945,7.305649583
2009,9,9,4,10.96700001,8.106142028
2009,9,9,5,12,4.272423573
2009,9,9,6,12.30000019,9.932005353
2009,9,9,7,11.60000038,11.0713586
2009,9,9,8,13.7329998,11.27519376
2009,9,9,9,12.63300037,10.70966616
2009,9,9,10,10.89999962,12.55231264
2009,9,9,11,8.932999611,11.80935345
2009,9,9,12,9.232999802,10.16017303
2009,9,9,13,10.38300037,8.265427474
2009,9,9,14,11.31700039,8.499479801
2009,9,9,15,13.14999962,9.532140957
2009,9,9,16,12.63300037,10.63530887
2009,9,9,17,11.96700001,12.47696329
2009,9,9,18,14.61699963,11.80359379
2009,9,9,19,15.2670002,11.2766728
2009,9,9,20,15.4829998,12.65580776
2009,9,9,21,15.88300037,14.30100766
2009,9,9,22,13.05000019,14.5434
2009,9,9,23,13.88300037,14.83752052
2009,9,10,0,13.2329998,12.33606752
2009,9,10,1,11.55000019,12.82309801
2009,9,10,2,8.817000389,12.76344138
2009,9,10,3,4.199999809,10.98406407
2009,9,10,4,4.267000198,8.23260239
2009,9,10,5,4.083000183,4.800592071
2009,9,10,6,2.950000048,4.84218602
2009,9,10,7,1.600000024,4.751530047
2009,9,10,8,6.550000191,4.032925091
2009,9,10,9,8.100000381,3.536592306
2009,9,10,10,7.900000095,6.582916987
2009,9,10,11,8.482999802,7.492654772
2009,9,10,12,8.383000374,7.415648109
2009,9,10,13,6.833000183,7.856099687
2009,9,10,14,5.566999912,7.725189374
2009,9,10,15,5.539999962,6.664108036
2009,9,10,16,7.982999802,5.90103954
2009,9,10,17,8.467000008,5.895226728
2009,9,10,18,8.067000389,7.42678049
2009,9,10,19,5.232999802,7.755433269
2009,9,10,20,4.849999905,7.496968032
2009,9,10,21,2.667000055,5.625772737
2009,9,10,22,3.082999945,5.493857333
2009,9,10,23,2.167000055,4.026101104
2009,9,11,0,3.117000103,4.04464385
2009,9,11,1,3.683000088,3.594931523
2009,9,11,2,4.150000095,4.043041327
2009,9,11,3,3.480000019,4.361269753
2009,9,11,4,1.582999945,4.756538873
2009,9,11,5,2.73300004,4.26236843
2009,9,11,6,3.917000055,3.536592306
2009,9,11,7,2.98300004,4.025135992
2009,9,11,8,1.799999952,4.594559672
2009,9,11,9,2.26699996,4.03337162
2009,9,11,10,6.566999912,3.538264141
2009,9,11,11,9.550000191,3.800213061
2009,9,11,12,10.14999962,6.583431538
2009,9,11,13,10.56700039,9.04794883
2009,9,11,14,9.217000008,9.291766083
2009,9,11,15,11.11699963,9.871027334
2009,9,11,16,10.25,8.496382259
2009,9,11,17,9.25,9.961746083
2009,9,11,18,7.967000008,9.291979572
2009,9,11,19,7.083000183,8.499479801
2009,9,11,20,3.367000103,7.423395072
2009,9,11,21,4.566999912,6.924562175
2009,9,11,22,3.5,4.197026012
2009,9,11,23,2.349999905,5.154291555
2009,9,12,0,5.166999817,4.263791845
2009,9,12,1,5.967000008,4.000570139
2009,9,12,2,4.916999817,5.613229175
2009,9,12,3,6.583000183,6.180291086
